,Candidates,RegNum,Party Number,District Number,Mandates,Total Votes,Quota,Rank
502,MERIKE KURVITS,409,3,5,6,25.0,5332.83,71
503,KRISSIKA KAST,411,3,5,6,25.0,5332.83,75
504,MARET MERISAAR,406,3,5,6,23.0,5332.83,27
505,REILI RAND,531,4,5,6,918.0,5332.83,11
506,MADIS KALLAS,530,4,5,6,812.0,5332.83,118
507,NEEME SUUR,532,4,5,6,640.0,5332.83,19
508,HEIKI HANSO,537,4,5,6,355.0,5332.83,75
509,KAIRIT LINDMÄE,533,4,5,6,249.0,5332.83,51
510,HERGO TASUJA,536,4,5,6,208.0,5332.83,39
511,SILVI TEESALU,535,4,5,6,141.0,5332.83,63
512,KAIDO SIPELGAS,534,4,5,6,91.0,5332.83,27
513,KAUPO VIPP,635,5,5,6,198.0,5332.83,5
514,ENN KALJO,636,5,5,6,40.0,5332.83,24
515,SIRKKA PINTMANN,640,5,5,6,32.0,5332.83,62
516,SILJA REEMET,639,5,5,6,31.0,5332.83,61
517,MÄRT RANDOJA,638,5,5,6,30.0,5332.83,47
518,ENRI PAHAPILL,637,5,5,6,19.0,5332.83,25
519,HELLE-MOONIKA HELME,728,6,5,6,3202.0,5332.83,8
520,JAEN TEÄR,729,6,5,6,1124.0,5332.83,35
521,HARDI REHKALT,730,6,5,6,722.0,5332.83,40
522,AGNES PULK,731,6,5,6,653.0,5332.83,52
523,DANIEL MEREÄÄR,735,6,5,6,442.0,5332.83,116
524,TOOMAS VALLIMÄE,733,6,5,6,367.0,5332.83,88
525,MARTIN JUDANOV,734,6,5,6,231.0,5332.83,104
526,ILLE PALUSALU,732,6,5,6,153.0,5332.83,66
527,KOIT KELDER,853,7,5,6,903.0,5332.83,22
528,TOOMAS KASEMAA,854,7,5,6,163.0,5332.83,38
529,KEITH SIILATS,860,7,5,6,89.0,5332.83,122
530,JAANIKA ROOSMAN,855,7,5,6,85.0,5332.83,55
531,LARS UUS,856,7,5,6,50.0,5332.83,69
532,ANU UIBO,857,7,5,6,49.0,5332.83,72
533,MARTIN VAHIMETS,858,7,5,6,35.0,5332.83,96
534,ANDRI SIMO,859,7,5,6,30.0,5332.83,107
535,ENN EESMAA,978,8,5,6,1805.0,5332.83,8
536,JAANUS KARILAID,979,8,5,6,1661.0,5332.83,5
537,MIHKEL UNDREST,980,8,5,6,1024.0,5332.83,48
538,ANTTI LEIGRI,981,8,5,6,427.0,5332.83,61
539,REA RAUS,982,8,5,6,303.0,5332.83,97
540,MAIRE KÄÄRID,984,8,5,6,258.0,5332.83,86
541,AIVAR ARU,983,8,5,6,149.0,5332.83,65
542,ÜLLAR NEEMRAND,985,8,5,6,109.0,5332.83,75
543,DIANA KOOR,1053,9,5,6,13.0,5332.83,8
544,RAIVO AEG,1114,10,5,6,1451.0,5332.83,12
545,MART MAASTIK,1115,10,5,6,523.0,5332.83,24
546,ANTI TOPLAAN,1119,10,5,6,473.0,5332.83,67
547,KAIDO KAASIK,1117,10,5,6,372.0,5332.83,47
548,TOOMAS SCHMIDT,1118,10,5,6,221.0,5332.83,56
549,GEORG LINKOV,1116,10,5,6,141.0,5332.83,38
550,TIIT HARJAK,1120,10,5,6,90.0,5332.83,79
551,TÕNU MUNK,1121,10,5,6,76.0,5332.83,90
552,HARRY RAUDVERE,1189,11,5,6,406.0,5332.83,0
553,PAVO RAUDSEPP,163,1,6,5,87.0,5386.8,7
554,PIRET PIHEL,164,1,6,5,37.0,5386.8,46
555,REIN KOTŠIN,166,1,6,5,21.0,5386.8,70
556,AVE PÜTSEPP,168,1,6,5,15.0,5386.8,93
557,KOIT KUUSK,165,1,6,5,12.0,5386.8,58
558,MARJE SALVE,167,1,6,5,8.0,5386.8,82
559,VEANA HEINMETS,169,1,6,5,5.0,5386.8,103
560,TAAVI RÕIVAS,288,2,6,5,2847.0,5386.8,124
561,MARKO TORM,294,2,6,5,1298.0,5386.8,89
562,KATRIN KUUSEMÄE,291,2,6,5,640.0,5386.8,60
563,MATI RAIDMA,290,2,6,5,617.0,5386.8,33
564,INDREK KESKÜLA,289,2,6,5,547.0,5386.8,97
565,RIHO TELL,293,2,6,5,228.0,5386.8,122
566,LEO AADEL,292,2,6,5,219.0,5386.8,69
567,ANDRES JAADLA,413,3,6,5,106.0,5386.8,12
568,JAANUS NURMOJA,415,3,6,5,51.0,5386.8,47
569,REIGO LEHTLA,419,3,6,5,42.0,5386.8,76
570,RIINA ODNENKO,416,3,6,5,40.0,5386.8,110
571,AARE VEEDLA,417,3,6,5,30.0,5386.8,108
572,ALLAN JAAKUS,414,3,6,5,27.0,5386.8,42
573,VEERA KOSTINA,418,3,6,5,14.0,5386.8,64
574,INDREK SAAR,538,4,6,5,1332.0,5386.8,5
575,ENE AUGASMÄGI,539,4,6,5,329.0,5386.8,20
576,KAIRIT PIHLAK,543,4,6,5,201.0,5386.8,40
577,KELLY KONETSKI-RAMUL,541,4,6,5,178.0,5386.8,28
578,EERIK LUMISTE,540,4,6,5,163.0,5386.8,52
579,MARGUS PUNANE,542,4,6,5,142.0,5386.8,64
580,GARRI RAAGMAA,544,4,6,5,83.0,5386.8,76
581,LAURI KLEIN,641,5,6,5,116.0,5386.8,6
582,CORNELIA KOTTO,642,5,6,5,46.0,5386.8,21
583,JÜRI-ILLIMAR REINBERG-ŠESTAKOV,643,5,6,5,13.0,5386.8,35
584,ANTI POOLAMETS,736,6,6,5,3335.0,5386.8,15
585,AARNE MÄE,738,6,6,5,818.0,5386.8,43
586,MARTI KUUSIK,737,6,6,5,657.0,5386.8,36
587,TANEL TARKMEES,740,6,6,5,317.0,5386.8,82
588,LEO BERGSTRÖM,742,6,6,5,291.0,5386.8,122
589,UNO TRUMM,739,6,6,5,229.0,5386.8,68
590,AIGAR PÕDER,741,6,6,5,121.0,5386.8,100
591,ANNES NAAN,861,7,6,5,310.0,5386.8,19
592,ELMU KOPPELMANN,862,7,6,5,145.0,5386.8,46
593,MADIS VIISE,864,7,6,5,91.0,5386.8,54
594,MARKO TEIVA,863,7,6,5,80.0,5386.8,37
595,TRIIN SIHVER,866,7,6,5,80.0,5386.8,105
596,TARMO TAMM,867,7,6,5,75.0,5386.8,123
597,AHTO NEIDEK,865,7,6,5,47.0,5386.8,94
598,SIRET KOTKA-REPINSKI,986,8,6,5,2095.0,5386.8,30
599,TOOMAS VÄINASTE,992,8,6,5,930.0,5386.8,38
600,TRIIN VAREK,988,8,6,5,912.0,5386.8,67
601,MAKSIM BUTŠENKOV,987,8,6,5,465.0,5386.8,76
602,JELENA FJODOROVA,990,8,6,5,396.0,5386.8,87
603,HANS KRUUSAMÄGI,991,8,6,5,306.0,5386.8,121
604,JAAN MÄNNIK,989,8,6,5,267.0,5386.8,12
605,ANDREI ANISSIMOV,1054,9,6,5,12.0,5386.8,11
606,ÜLLAR SAAREMÄE,1123,10,6,5,2023.0,5386.8,25
607,MARKO POMERANTS,1122,10,6,5,1989.0,5386.8,13
608,EINAR VALLBAUM,1128,10,6,5,423.0,5386.8,32
609,TÕNIS PRULER,1127,10,6,5,401.0,5386.8,68
610,ALARI KIRT,1126,10,6,5,313.0,5386.8,57
611,MIHKEL JUHKAMI,1125,10,6,5,177.0,5386.8,48
612,TAMARA VAHTRA-AASMETS,1124,10,6,5,135.0,5386.8,39
613,JANE SNAITH,170,1,7,7,50.0,3859.0,17
614,KARINA KÜPPAS,172,1,7,7,43.0,3859.0,59
615,SIRJE PALLO,171,1,7,7,22.0,3859.0,47
616,INNA ROSE,178,1,7,7,11.0,3859.0,23
617,DENISS TIŠTŠENKO,175,1,7,7,8.0,3859.0,94
618,LIDIA RETTIJEVA,177,1,7,7,6.0,3859.0,111
619,MULJE KULLERKUP,174,1,7,7,5.0,3859.0,83
620,ASKO SIRP,176,1,7,7,3.0,3859.0,104
621,ANDO KUURA,173,1,7,7,1.0,3859.0,71
622,EERIK-NIILES KROSS,295,2,7,7,1110.0,3859.0,14
623,AIVAR SURVA,297,2,7,7,880.0,3859.0,68
624,MARIS TOOMEL,296,2,7,7,448.0,3859.0,55
625,ANDREA EICHE,300,2,7,7,416.0,3859.0,104
626,SERGEI GORLATŠ,298,2,7,7,279.0,3859.0,109
627,TOOMAS NÕMMISTE,302,2,7,7,268.0,3859.0,108
628,PRIIT PALMET,303,2,7,7,211.0,3859.0,107
629,MERIKE PERI,299,2,7,7,91.0,3859.0,117
630,OLESJA OJAMÄE,301,2,7,7,66.0,3859.0,105
631,TIMUR SAGITOV,420,3,7,7,77.0,3859.0,14
632,MÄRT PÕDER,428,3,7,7,44.0,3859.0,45
633,OLGA GUDKOVA,421,3,7,7,32.0,3859.0,28
634,DARJA VORONTSOVA,426,3,7,7,13.0,3859.0,41
635,ANETTE-MARLEN OTT,425,3,7,7,13.0,3859.0,65
636,ROMAN MUTONEN,422,3,7,7,9.0,3859.0,122
637,ALEKSEI NEHOROŠKIN,424,3,7,7,7.0,3859.0,77
638,LEONID MIRONOV,427,3,7,7,5.0,3859.0,86
639,ELEONORA LOGINOVA,423,3,7,7,4.0,3859.0,111
640,KATRI RAIK,545,4,7,7,2112.0,3859.0,119
641,EDUARD ODINETS,546,4,7,7,573.0,3859.0,29
642,MAKSIM ILJIN,547,4,7,7,369.0,3859.0,21
643,ANTON PRATKUNAS,548,4,7,7,271.0,3859.0,41
644,ANTS KUTTI,551,4,7,7,211.0,3859.0,87
645,ETTI KAGAROV,553,4,7,7,181.0,3859.0,65
646,SERGEI SOLOVJOV,550,4,7,7,107.0,3859.0,77
647,TATJANA OLESK,549,4,7,7,98.0,3859.0,53
648,PAVEL PROKOPENKO,552,4,7,7,86.0,3859.0,97
649,KAJA TOIKKA,644,5,7,7,95.0,3859.0,4
650,AGO SAMOSON,645,5,7,7,11.0,3859.0,13
651,RIHO BREIVEL,744,6,7,7,979.0,3859.0,13
652,KERSTI KRACHT,743,6,7,7,373.0,3859.0,27
653,ARVO ALLER,745,6,7,7,283.0,3859.0,45
654,KALEV PRITS,746,6,7,7,175.0,3859.0,60
655,MARI-LIIS LILLEMETS,751,6,7,7,118.0,3859.0,123
656,EVELIN POOLAMETS,747,6,7,7,107.0,3859.0,81
657,RINGO RIIVES,750,6,7,7,94.0,3859.0,114
658,TIIT RAUD,749,6,7,7,74.0,3859.0,109
659,ANDRES PIIBELEHT,748,6,7,7,31.0,3859.0,90
660,AHTI PUUR,868,7,7,7,454.0,3859.0,18
661,JANA PAVLENKOVA,869,7,7,7,209.0,3859.0,26
662,SVETLANA SKREBNEVA,871,7,7,7,91.0,3859.0,45
663,NIKITA LUMIJÕE,870,7,7,7,67.0,3859.0,17
664,MIHHAIL DERBNEV,874,7,7,7,60.0,3859.0,88
665,JÜRI KÄOSAAR,876,7,7,7,51.0,3859.0,43
666,DARJA BERESTOVA,873,7,7,7,37.0,3859.0,49
667,STANISLAV TITUŠKO,872,7,7,7,36.0,3859.0,75
668,VIKTOR GOLUBJATNIKOV,875,7,7,7,6.0,3859.0,102
669,YANA TOOM,993,8,7,7,6195.0,3859.0,6
670,MIHHAIL STALNUHHIN,994,8,7,7,2653.0,3859.0,17
671,MARTIN REPINSKI,1001,8,7,7,976.0,3859.0,77
672,DMITRI DMITRIJEV,997,8,7,7,943.0,3859.0,40
673,VALERI KORB,995,8,7,7,798.0,3859.0,24
674,TARMO TAMMISTE,996,8,7,7,632.0,3859.0,63
675,MAKSIM VOLKOV,999,8,7,7,619.0,3859.0,95
676,EEVI PAASMÄE,998,8,7,7,529.0,3859.0,37
677,EVE EAST,1000,8,7,7,355.0,3859.0,119
678,VIKTOR MALÕGIN,1055,9,7,7,65.0,3859.0,7
679,MARJA-LIISA VEISER,1131,10,7,7,448.0,3859.0,40
680,TIIT SALVAN,1130,10,7,7,382.0,3859.0,35
681,SIIM VALMAR KIISLER,1129,10,7,7,379.0,3859.0,9
682,AIVO TAMM,1135,10,7,7,148.0,3859.0,80
683,ARTUR PÕLD,1133,10,7,7,135.0,3859.0,58
684,ARNO STRAUCH,1136,10,7,7,119.0,3859.0,91
685,JANEK RAIK,1137,10,7,7,81.0,3859.0,100
686,ANDRES NOORMÄGI,1132,10,7,7,42.0,3859.0,49
687,VALENTINA GUROVA,1134,10,7,7,33.0,3859.0,69
688,ARLET PALMISTE,180,1,8,7,101.0,5349.71,38
689,AIN OSTRA,179,1,8,7,68.0,5349.71,20
690,MARI-LIIS TAHKER,181,1,8,7,28.0,5349.71,48
691,AIN AUKSIMÄE,183,1,8,7,21.0,5349.71,72
692,OLEV RAHNU,185,1,8,7,20.0,5349.71,95
693,JÜRMO SILLASTE,182,1,8,7,15.0,5349.71,60
694,HEIKI RIPS,184,1,8,7,12.0,5349.71,84
695,MARGUS SARDIS,187,1,8,7,10.0,5349.71,112
696,HANNO KIRSCHFELDT,186,1,8,7,6.0,5349.71,105
697,JÜRGEN LIGI,304,2,8,7,6069.0,5349.71,2
698,YOKO ALENDER,305,2,8,7,997.0,5349.71,19
699,RAIT PIHELGAS,307,2,8,7,593.0,5349.71,56
700,TAIMO TUGI,312,2,8,7,459.0,5349.71,110
701,TÕNU JUUL,308,2,8,7,422.0,5349.71,87
702,MADIS TIMPSON,306,2,8,7,413.0,5349.71,44
703,SULEV KANNIMÄE,310,2,8,7,371.0,5349.71,39
704,MATI SADAM,309,2,8,7,296.0,5349.71,98
705,TARMO ALT,311,2,8,7,157.0,5349.71,73
706,HANNES PUU,429,3,8,7,129.0,5349.71,15
707,HELI KUUSE,432,3,8,7,97.0,5349.71,112
708,ELO-MARIA ROOTS,437,3,8,7,45.0,5349.71,96
709,KRISTJAN ROHTLA,431,3,8,7,42.0,5349.71,25
710,ARVI TAPVER,430,3,8,7,20.0,5349.71,31
711,ERKO ELMIK,435,3,8,7,16.0,5349.71,78
712,TIINA RAMMUL,434,3,8,7,13.0,5349.71,66
713,EVELI PERMANSON,433,3,8,7,11.0,5349.71,63
714,JÜRI-JOONAS KEREM,436,3,8,7,4.0,5349.71,87
715,HELMEN KÜTT,554,4,8,7,2194.0,5349.71,120
716,LAURI LÄÄNEMETS,557,4,8,7,994.0,5349.71,6
717,JUHAN-MART SALUMÄE,558,4,8,7,509.0,5349.71,54
718,SIRET PIHELGAS,555,4,8,7,421.0,5349.71,30
719,PIRET AUS,556,4,8,7,241.0,5349.71,42
720,KÜLVAR MAND,559,4,8,7,156.0,5349.71,66
721,TONIO TAMRA,562,4,8,7,66.0,5349.71,98
722,KAAREL ORUMÄGI,561,4,8,7,60.0,5349.71,88
723,TAMBET SOVA,560,4,8,7,41.0,5349.71,78
724,ÜLLE KULDKEPP,650,5,8,7,101.0,5349.71,72
725,RIINA EIGI,646,5,8,7,80.0,5349.71,11
726,JANICA SEPP,647,5,8,7,60.0,5349.71,32
727,PRIIT-KALEV PARTS,649,5,8,7,57.0,5349.71,53
728,PEEP TOBRELUTS,648,5,8,7,52.0,5349.71,51
729,JAAK MADISON,752,6,8,7,5612.0,5349.71,4
730,KALLE GRÜNTHAL,753,6,8,7,740.0,5349.71,29
731,REIN SUURKASK,754,6,8,7,456.0,5349.71,24
732,ENN SARV,756,6,8,7,441.0,5349.71,72
733,HELI KOIT,757,6,8,7,436.0,5349.71,87
734,MEDI MEIKAR,755,6,8,7,287.0,5349.71,58
735,PRIIT JÜRJENS,760,6,8,7,190.0,5349.71,125
736,TARMO HINTS,758,6,8,7,122.0,5349.71,38
737,ANDO TULVIK,759,6,8,7,105.0,5349.71,112
738,RUSLAN TROCHYNSKYI,877,7,8,7,384.0,5349.71,20
739,KALLE KALLAS,879,7,8,7,148.0,5349.71,30
740,ANGELIKA NARIS,878,7,8,7,113.0,5349.71,50
741,KRISTER KALLAS,885,7,8,7,97.0,5349.71,42
742,RAUL ALLIKSAAR,881,7,8,7,97.0,5349.71,103
743,MARJU MÄGER,880,7,8,7,89.0,5349.71,59
744,LAURI VAIKSAAR,884,7,8,7,72.0,5349.71,64
745,TATJANA JÜRGEN,883,7,8,7,43.0,5349.71,117
746,TIIA PIIRIMEES,882,7,8,7,17.0,5349.71,76
747,JAAK AAB,1002,8,8,7,2227.0,5349.71,31
748,KERSTI SARAPUU,1003,8,8,7,1394.0,5349.71,7
749,PEETER RAHNEL,1004,8,8,7,1019.0,5349.71,60
750,HELMUT HALLEMAA,1010,8,8,7,700.0,5349.71,44
751,GETTER KLAAS,1005,8,8,7,245.0,5349.71,109
752,HEIDY TAMME,1008,8,8,7,236.0,5349.71,118
753,RAIVO MATSINA,1007,8,8,7,215.0,5349.71,88
754,KARL ÕMBLUS,1006,8,8,7,158.0,5349.71,73
755,AADO OHERD,1009,8,8,7,59.0,5349.71,98
756,DIANA NÕMBERG-KLAUS,1056,9,8,7,13.0,5349.71,6
757,HELIR-VALDOR SEEDER,1138,10,8,7,3138.0,5349.71,1
758,KAIA IVA,1139,10,8,7,1526.0,5349.71,14
759,ALAR KARU,1141,10,8,7,531.0,5349.71,50
760,PRIIT VÄRK,1140,10,8,7,341.0,5349.71,41
761,VALTER VAHA,1145,10,8,7,170.0,5349.71,92
762,JÜRI ELLRAM,1142,10,8,7,160.0,5349.71,59
763,HERMANN KALMUS,1146,10,8,7,144.0,5349.71,101
764,JANIKA GEDVIL,1143,10,8,7,132.0,5349.71,70
765,KASPAR KAARJAS,1144,10,8,7,34.0,5349.71,81
766,JÜRI MALSUB,1186,11,8,7,90.0,5349.71,0
767,ELO LUTSEPP,188,1,9,7,207.0,5978.14,6
768,MÄRT LÄÄNEMETS,189,1,9,7,84.0,5978.14,10
769,MÄRT MEESAK,196,1,9,7,76.0,5978.14,19
770,KAIDO VÄLJAOTS,192,1,9,7,62.0,5978.14,49
771,KATRIN HAUK,191,1,9,7,38.0,5978.14,32
772,URMAS HEINASTE,190,1,9,7,36.0,5978.14,35
773,ELAR PLOOMIPUU,195,1,9,7,33.0,5978.14,85
774,TIIT URVA,193,1,9,7,18.0,5978.14,61
775,TAUNO KURE,194,1,9,7,17.0,5978.14,73
776,URMAS KRUUSE,313,2,9,7,5398.0,5978.14,17
777,VALDO RANDPERE,314,2,9,7,2079.0,5978.14,29
778,TOOMAS JÄRVEOJA,315,2,9,7,1494.0,5978.14,42
779,ERKKI KELDO,321,2,9,7,722.0,5978.14,31
780,RAIVO MEITUS,317,2,9,7,510.0,5978.14,79
781,ILLARI LÄÄN,319,2,9,7,388.0,5978.14,100
782,AIVAR SAARELA,318,2,9,7,293.0,5978.14,70
783,ÜLVI NOOL-KÕRE,316,2,9,7,287.0,5978.14,112
784,MERILI RANNISTE,320,2,9,7,228.0,5978.14,96
785,KAI KÜNNIS-BERES,438,3,9,7,240.0,5978.14,2
786,HENRY LAKS,446,3,9,7,165.0,5978.14,43
787,KÜLLIKE REIMAA,442,3,9,7,59.0,5978.14,20
788,IVO-HANNES LEHTSALU,440,3,9,7,37.0,5978.14,118
789,RIINA PERNAU,443,3,9,7,33.0,5978.14,67
790,ALO KAASIK,445,3,9,7,25.0,5978.14,88
791,ERKI SAKSING,441,3,9,7,22.0,5978.14,113
792,ARVO KUIV,439,3,9,7,21.0,5978.14,56
793,TAAVO SAVIK,444,3,9,7,14.0,5978.14,79
794,EIKI NESTOR,563,4,9,7,1491.0,5978.14,124
795,JÜRI MOROZOV,564,4,9,7,735.0,5978.14,13
796,PRIIT LOMP,566,4,9,7,503.0,5978.14,31
797,MARIKA SAAR,565,4,9,7,367.0,5978.14,22
798,MARGUS MÖLDRI,567,4,9,7,220.0,5978.14,43
799,MAANO KOEMETS,570,4,9,7,205.0,5978.14,79
800,JARNO LAUR,571,4,9,7,198.0,5978.14,89
801,MATI KEPP,569,4,9,7,91.0,5978.14,67
802,JAAN SÕRRA,568,4,9,7,81.0,5978.14,55
803,PEETER LEPISK,651,5,9,7,163.0,5978.14,9
804,ANNELI PALO,652,5,9,7,146.0,5978.14,20
805,KÜLLI ORG,653,5,9,7,45.0,5978.14,40
806,TAUNO LAASIK,654,5,9,7,44.0,5978.14,64
807,TOOMAS FREY,655,5,9,7,41.0,5978.14,68
808,PEETER ERNITS,761,6,9,7,3846.0,5978.14,14
809,RAIVO PÕLDARU,762,6,9,7,1414.0,5978.14,31
810,MALLE PÄRN,765,6,9,7,1197.0,5978.14,39
811,KERT KINGO,764,6,9,7,1082.0,5978.14,16
812,AARE RÜÜTEL,769,6,9,7,565.0,5978.14,120
813,ÜLLE ROSIN,763,6,9,7,557.0,5978.14,47
814,AIVAR ÕUN,767,6,9,7,325.0,5978.14,78
815,AIVO LILL,766,6,9,7,278.0,5978.14,55
816,KRISTIAN SUVE,768,6,9,7,98.0,5978.14,101
817,ALEKSANDR ŠIROKOV,886,7,9,7,453.0,5978.14,23
818,ÜLLE PÄRL,887,7,9,7,453.0,5978.14,60
819,KADI PLOOM,888,7,9,7,278.0,5978.14,51
820,EVELIN PÄRL,892,7,9,7,131.0,5978.14,36
821,MAARIKA KUKK,890,7,9,7,116.0,5978.14,83
822,MARGUS PÄRSIK,889,7,9,7,115.0,5978.14,63
823,RONALD LAARMAA,894,7,9,7,114.0,5978.14,119
824,VÄINO UIBO,893,7,9,7,74.0,5978.14,104
825,KAARE PÕDER,891,7,9,7,55.0,5978.14,74
826,MARIKA TUUS-LAUL,1012,8,9,7,2095.0,5978.14,19
827,JANEK MÄGGI,1011,8,9,7,1671.0,5978.14,32
828,JAAN ÕUNAPUU,1013,8,9,7,791.0,5978.14,100
829,PEEP PÕDDER,1015,8,9,7,414.0,5978.14,114
830,MAX KAUR,1017,8,9,7,404.0,5978.14,106
831,PEETER LAASIK,1016,8,9,7,313.0,5978.14,89
832,AARE OLGO,1014,8,9,7,281.0,5978.14,36
833,ANDRES VÄÄN,1018,8,9,7,276.0,5978.14,79
834,TARMO TOMSON,1019,8,9,7,193.0,5978.14,103
835,TIINA RADIONOV,1057,9,9,7,34.0,5978.14,5
836,RAIVO TAMM,1150,10,9,7,2583.0,5978.14,15
837,AIVAR KOKK,1147,10,9,7,2536.0,5978.14,8
838,EVA KAMS,1148,10,9,7,660.0,5978.14,36
839,TIIT LÄÄNE,1149,10,9,7,498.0,5978.14,42
840,IVAR TEDREMA,1151,10,9,7,312.0,5978.14,60
841,RAIN SANGERNEBO,1152,10,9,7,253.0,5978.14,71
842,AARE ANDERSON,1154,10,9,7,232.0,5978.14,93
843,JAANA PUUR,1153,10,9,7,144.0,5978.14,82
844,HELDUR LÄÄNE,1155,10,9,7,90.0,5978.14,102
845,KUIDO NÕMM,197,1,10,8,430.0,5603.88,11
846,VAHUR KOLLOM,198,1,10,8,117.0,5603.88,5
847,MART KIVASTIK,206,1,10,8,106.0,5603.88,106
848,ALVAR TIPP,204,1,10,8,44.0,5603.88,86
849,HEIKI LILL,199,1,10,8,38.0,5603.88,29
850,LAILI JÕGIAAS,201,1,10,8,29.0,5603.88,36
851,KRISTO KARU,202,1,10,8,27.0,5603.88,62
852,KAIDO KALLAVUS,200,1,10,8,22.0,5603.88,50
853,HERLE GERASSIMOVA,203,1,10,8,18.0,5603.88,74
854,HEINO RITSMAN,205,1,10,8,6.0,5603.88,96
855,URMAS KLAAS,322,2,10,8,6119.0,5603.88,12
856,ANTS LAANEOTS,324,2,10,8,3053.0,5603.88,10
857,SIGNE KIVI,326,2,10,8,1356.0,5603.88,25
858,HELE EVERAUS,327,2,10,8,1110.0,5603.88,48
859,MARGIT SUTROP,323,2,10,8,1082.0,5603.88,37
860,URMAS SIIGUR,325,2,10,8,940.0,5603.88,58
861,RAIMOND TAMM,328,2,10,8,792.0,5603.88,83
862,AIRIS MEIER,329,2,10,8,389.0,5603.88,54
863,RENO LAIDRE,330,2,10,8,354.0,5603.88,67
864,ANDRUS PUNT,331,2,10,8,309.0,5603.88,91
865,MARKO KAASIK,447,3,10,8,362.0,5603.88,7
866,REA SEPPING,448,3,10,8,109.0,5603.88,123
867,INGA PLOOMIPUU,451,3,10,8,100.0,5603.88,62
868,RAUL KÜBARSEPP,453,3,10,8,96.0,5603.88,54
869,JÜRI GINTER,450,3,10,8,88.0,5603.88,21
870,HELLE KAASIK,455,3,10,8,75.0,5603.88,97
871,MERILY VAKKER,456,3,10,8,49.0,5603.88,99
872,RUTH TAMMEORG,454,3,10,8,27.0,5603.88,89
873,JAAN OLARI,452,3,10,8,20.0,5603.88,68
874,ELMER JOANDI,449,3,10,8,13.0,5603.88,120
875,HELJO PIKHOF,572,4,10,8,1522.0,5603.88,121
876,MARJU LAURISTIN,581,4,10,8,1172.0,5603.88,125
877,GEA KANGILASKI,574,4,10,8,802.0,5603.88,32
878,TOOMAS JÜRGENSTEIN,573,4,10,8,735.0,5603.88,10
879,OTT MAIDRE,577,4,10,8,263.0,5603.88,68
880,LEMMIT KAPLINSKI,576,4,10,8,215.0,5603.88,56
881,MEELIS LUHT,575,4,10,8,131.0,5603.88,44
882,ASKO TAMME,578,4,10,8,98.0,5603.88,80
883,ANTS JOHANSON,579,4,10,8,85.0,5603.88,90
884,TÕNU INTS,580,4,10,8,64.0,5603.88,99
885,MART JÜSSI,657,5,10,8,320.0,5603.88,46
886,AHTO KAASIK,656,5,10,8,281.0,5603.88,2
887,JAAK VALGE,770,6,10,8,2740.0,5603.88,12
888,INDREK SÄRG,772,6,10,8,2223.0,5603.88,32
889,INDREK KALDA,775,6,10,8,689.0,5603.88,75
890,RUUBEN KAALEP,771,6,10,8,566.0,5603.88,10
891,INDREK HIRV,773,6,10,8,295.0,5603.88,51
892,HEIKI VILEP,779,6,10,8,247.0,5603.88,117
893,MERIKE LUMI,778,6,10,8,246.0,5603.88,107
894,AIN EHARI,777,6,10,8,241.0,5603.88,96
895,AARE TAMM,776,6,10,8,200.0,5603.88,89
896,MAREH KALDA,774,6,10,8,194.0,5603.88,62
897,KRISTIINA TÕNNISSON,896,7,10,8,775.0,5603.88,13
898,MARGUS TSAHKNA,895,7,10,8,612.0,5603.88,125
899,TANEL TEIN,897,7,10,8,530.0,5603.88,120
900,KADRI HALLER-KIKKATALO,900,7,10,8,166.0,5603.88,28
901,JAAK LAINESTE,903,7,10,8,153.0,5603.88,35
902,PILLE TSOPP-PAGAN,898,7,10,8,130.0,5603.88,32
903,JÜRI-OTT SALM,899,7,10,8,106.0,5603.88,57
904,ISMAIL MIRZOJEV,901,7,10,8,87.0,5603.88,93
905,KARIN JÕKS,902,7,10,8,59.0,5603.88,81
906,KIRILL AVDEJEV,904,7,10,8,59.0,5603.88,111
907,AADU MUST,1020,8,10,8,2370.0,5603.88,16
908,JAAN TOOTS,1021,8,10,8,871.0,5603.88,23
909,JELENA FRUNZE,1026,8,10,8,732.0,5603.88,91
910,NIKOLAI PÕDRAMÄGI,1027,8,10,8,683.0,5603.88,105
911,VLADIMIR ŠOKMAN,1023,8,10,8,383.0,5603.88,58
912,IRINA PANOVA,1028,8,10,8,335.0,5603.88,101
913,MARINA RIISALU,1024,8,10,8,202.0,5603.88,59
914,VIKTOR TRASBERG,1025,8,10,8,200.0,5603.88,28
915,MONICA RAND,1022,8,10,8,164.0,5603.88,82
916,MADIS LEPAJÕE,1029,8,10,8,159.0,5603.88,112
917,VIIVI-HELBE PELJUHHOVSKA,1058,9,10,8,30.0,5603.88,3
918,TÕNIS LUKAS,1156,10,10,8,2506.0,5603.88,19
919,MIHHAIL LOTMAN,1158,10,10,8,1086.0,5603.88,10
920,LAURI VAHTRE,1157,10,10,8,876.0,5603.88,22
921,EVA-LIISA LUHAMETS,1159,10,10,8,277.0,5603.88,51
922,ANNELI KANNUS,1160,10,10,8,221.0,5603.88,61
923,KASPAR KOKK,1165,10,10,8,145.0,5603.88,110
924,PRIIT HUMAL,1161,10,10,8,141.0,5603.88,72
925,FRIEDRICH KAASIK,1163,10,10,8,75.0,5603.88,94
926,TARVO SIILABERG,1164,10,10,8,56.0,5603.88,103
927,JAAN VAIKSAAR,1162,10,10,8,33.0,5603.88,83
